areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
E06000023,"Bristol, City of",ltla,03/02/2021,421
E06000023,"Bristol, City of",ltla,02/02/2021,417
E06000023,"Bristol, City of",ltla,01/02/2021,415
E06000023,"Bristol, City of",ltla,31/01/2021,412
E06000023,"Bristol, City of",ltla,30/01/2021,410
E06000023,"Bristol, City of",ltla,29/01/2021,404
E06000023,"Bristol, City of",ltla,28/01/2021,400
E06000023,"Bristol, City of",ltla,27/01/2021,396
E06000023,"Bristol, City of",ltla,26/01/2021,389
E06000023,"Bristol, City of",ltla,25/01/2021,382
E06000023,"Bristol, City of",ltla,24/01/2021,376
E06000023,"Bristol, City of",ltla,23/01/2021,369
E06000023,"Bristol, City of",ltla,22/01/2021,363
E06000023,"Bristol, City of",ltla,21/01/2021,360
E06000023,"Bristol, City of",ltla,20/01/2021,356
E06000023,"Bristol, City of",ltla,19/01/2021,346
E06000023,"Bristol, City of",ltla,18/01/2021,343
E06000023,"Bristol, City of",ltla,17/01/2021,339
E06000023,"Bristol, City of",ltla,16/01/2021,334
E06000023,"Bristol, City of",ltla,15/01/2021,329
E06000023,"Bristol, City of",ltla,14/01/2021,322
E06000023,"Bristol, City of",ltla,13/01/2021,318
E06000023,"Bristol, City of",ltla,12/01/2021,315
E06000023,"Bristol, City of",ltla,11/01/2021,312
E06000023,"Bristol, City of",ltla,10/01/2021,306
E06000023,"Bristol, City of",ltla,09/01/2021,299
E06000023,"Bristol, City of",ltla,08/01/2021,298
E06000023,"Bristol, City of",ltla,07/01/2021,293
E06000023,"Bristol, City of",ltla,06/01/2021,287
E06000023,"Bristol, City of",ltla,05/01/2021,285
E06000023,"Bristol, City of",ltla,04/01/2021,284
E06000023,"Bristol, City of",ltla,03/01/2021,280
E06000023,"Bristol, City of",ltla,02/01/2021,277
E06000023,"Bristol, City of",ltla,01/01/2021,274
E06000023,"Bristol, City of",ltla,31/12/2020,273
E06000023,"Bristol, City of",ltla,30/12/2020,272
E06000023,"Bristol, City of",ltla,29/12/2020,272
E06000023,"Bristol, City of",ltla,28/12/2020,269
E06000023,"Bristol, City of",ltla,27/12/2020,268
E06000023,"Bristol, City of",ltla,26/12/2020,266
E06000023,"Bristol, City of",ltla,25/12/2020,265
E06000023,"Bristol, City of",ltla,24/12/2020,265
E06000023,"Bristol, City of",ltla,23/12/2020,261
E06000023,"Bristol, City of",ltla,22/12/2020,260
E06000023,"Bristol, City of",ltla,21/12/2020,256
E06000023,"Bristol, City of",ltla,20/12/2020,255
